Season,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
2019,"LAA",6251,1.207077326,0.215832363,0.428870779,0.355296856,0.110747051,0.144167758,0.054288816,0.352941176,0.4392,0.3319,0.2289,0.1651,0.4513,0.3836
2019,"BAL",6189,1.229419703,0.203279479,0.439353749,0.357366771,0.107287449,0.143724696,0.072996706,0.361111111,0.415,0.3413,0.2437,0.1889,0.4876,0.3235
2019,"BOS",6474,1.176214196,0.208918062,0.427569035,0.363512901,0.08468244,0.152552926,0.0682901,0.151515151,0.3999,0.3417,0.2584,0.1537,0.4772,0.3691
2019,"CHW",6042,1.448947778,0.211543287,0.466499372,0.32195734,0.095089633,0.141855027,0.075847229,0.258064516,0.3798,0.3333,0.2869,0.1759,0.4962,0.3279
2019,"CLE",6124,1.142204827,0.198242187,0.427490234,0.374267578,0.108936725,0.145466405,0.058823529,0.180722891,0.425,0.3312,0.2438,0.1649,0.4501,0.385
2019,"DET",6039,1.163713678,0.230206757,0.414019162,0.355774079,0.099929128,0.105598866,0.06272838,0.222222222,0.3986,0.3496,0.2519,0.1582,0.4553,0.3866
2019,"KCR",6079,1.287642045,0.210926016,0.444145026,0.344928956,0.097301136,0.115056818,0.069498069,0.371428571,0.4011,0.3404,0.2585,0.1684,0.4628,0.3688
2019,"MIN",6392,0.982163406,0.221116888,0.385937146,0.392945964,0.105868814,0.176639815,0.058582308,0.346153846,0.4356,0.3277,0.2367,0.1571,0.4295,0.4134
2019,"NYY",6244,1.121447028,0.210576923,0.417307692,0.372115384,0.103359173,0.197674418,0.05875576,0.259259259,0.4073,0.3438,0.2489,0.1675,0.4436,0.3889
2019,"OAK",6269,1.076923076,0.212235294,0.408470588,0.379294117,0.113523573,0.15942928,0.056451612,0.3125,0.4255,0.3394,0.2351,0.1587,0.4313,0.41
2019,"SEA",6199,1.045992115,0.208237986,0.404780066,0.386981947,0.097240473,0.157030223,0.067839195,0.135135135,0.395,0.338,0.267,0.1965,0.4783,0.3252
2019,"TBR",6285,1.3101983,0.21492178,0.44524669,0.339831528,0.094900849,0.153682719,0.067027027,0.272727272,0.3914,0.3634,0.2452,0.1657,0.4362,0.3981
2019,"TEX",6204,1.209285714,0.22031762,0.426770859,0.35291152,0.092142857,0.159285714,0.060838747,0.357142857,0.4109,0.3333,0.2558,0.1536,0.4345,0.4119
2019,"TOR",6090,1.014066496,0.209932279,0.397792826,0.392274893,0.111892583,0.157928388,0.056746532,0.235294117,0.443,0.3279,0.2291,0.1794,0.4415,0.3791
2019,"ARI",6315,1.222736285,0.212780898,0.433052434,0.354166666,0.103106411,0.145406477,0.057837837,0.183098591,0.4101,0.3636,0.2263,0.1667,0.4379,0.3953
2019,"ATL",6301,1.135098438,0.23553719,0.406417112,0.358045697,0.088934147,0.169042769,0.071770334,0.102564102,0.4164,0.3254,0.2582,0.1606,0.4258,0.4135
2019,"CHC",6195,1.343841642,0.201947079,0.457563654,0.340489266,0.086510263,0.187683284,0.058919803,0.21875,0.3948,0.3482,0.257,0.1811,0.4686,0.3504
2019,"CIN",6100,1.148630136,0.220621118,0.416645962,0.362732919,0.100684931,0.155479452,0.054263565,0.096153846,0.4008,0.3402,0.259,0.1761,0.4462,0.3777
2019,"COL",6288,1.215268225,0.225162376,0.425066153,0.349771469,0.090096286,0.154057771,0.056027164,0.14893617,0.3811,0.3505,0.2684,0.1682,0.47,0.3618
2019,"MIA",6045,1.601632653,0.211918892,0.485163204,0.302917903,0.085714285,0.119183673,0.069317023,0.14516129,0.3843,0.3466,0.2691,0.1724,0.4408,0.3868
2019,"HOU",6394,1.105642256,0.215388056,0.411988369,0.372623574,0.095438175,0.172869147,0.064060803,0.31707317,0.4264,0.3418,0.2318,0.164,0.4373,0.3987
2019,"LAD",6282,1.07284345,0.220004808,0.403702813,0.376292377,0.086900958,0.17827476,0.067301965,0.089743589,0.4133,0.3418,0.245,0.1574,0.4192,0.4234
2019,"MIL",6309,1.23880597,0.210724129,0.436732648,0.352543222,0.093816631,0.177683013,0.057372346,0.217391304,0.3817,0.35,0.2683,0.1714,0.4201,0.4085
2019,"WSN",6267,1.112676056,0.210526315,0.415789473,0.37368421,0.104993597,0.147887323,0.066168009,0.263157894,0.4178,0.3291,0.2531,0.1837,0.4548,0.3614
2019,"NYM",6290,1.330319888,0.207426679,0.452459791,0.340113528,0.082058414,0.16828929,0.060115002,0.134328358,0.3937,0.3586,0.2477,0.1627,0.4896,0.3476
2019,"PHI",6261,1.1701553,0.218765192,0.42124453,0.359990277,0.126941255,0.14517218,0.069244085,0.208333333,0.4095,0.3387,0.2518,0.1775,0.4326,0.3899
2019,"PIT",6228,1.474021352,0.217645734,0.466126491,0.316227774,0.083985765,0.116014234,0.059874456,0.195121951,0.3931,0.3379,0.269,0.1929,0.4681,0.339
2019,"STL",6167,1.131561008,0.222332753,0.412832628,0.364834618,0.08997955,0.143149284,0.078313253,0.229885057,0.4099,0.352,0.2381,0.1658,0.4318,0.4024
2019,"SDP",6019,1.317700453,0.193896343,0.458300447,0.347803209,0.120272314,0.165658093,0.068886337,0.324675324,0.4085,0.3528,0.2388,0.1939,0.417,0.3891
2019,"SFG",6169,1.23189415,0.227338476,0.426470588,0.346190935,0.084261838,0.116295264,0.053137365,0.327868852,0.3923,0.3512,0.2564,0.1616,0.4546,0.3838
