Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2019,"LAA",1625,6251,5542,1368,859,268,21,220,769,734,586,29,1276,67,42,4,143,65,20,0.246842295
2019,"BAL",1637,6189,5596,1379,889,252,25,213,729,698,462,8,1435,71,37,22,111,84,30,0.246426018
2019,"BOS",1645,6474,5770,1554,937,345,27,245,901,857,590,36,1382,49,44,20,127,68,30,0.26932409
2019,"CHW",1582,6042,5529,1443,981,260,20,182,708,676,378,13,1549,66,32,36,114,63,28,0.26098752
2019,"CLE",1605,6124,5425,1354,827,286,18,223,769,731,563,30,1332,50,46,40,110,103,35,0.249585253
2019,"DET",1560,6039,5549,1333,851,292,41,149,582,556,391,14,1595,48,42,9,108,57,20,0.240223463
2019,"KCR",1572,6079,5496,1356,873,281,40,162,691,655,456,17,1405,59,42,24,113,117,39,0.24672489
2019,"MIN",1599,6392,5732,1547,899,318,23,307,939,906,525,21,1334,81,41,10,101,28,21,0.269888346
2019,"NYY",1585,6244,5583,1493,880,290,17,306,943,904,569,18,1437,49,33,10,113,55,22,0.26741895
2019,"OAK",1628,6269,5561,1384,812,292,23,257,845,800,578,17,1338,87,36,7,140,49,21,0.248876101
2019,"SEA",1603,6199,5500,1305,784,254,28,239,758,730,588,7,1581,58,37,14,83,115,47,0.237272727
2019,"TBR",1664,6285,5628,1427,890,291,29,217,769,730,542,20,1493,73,34,8,114,94,37,0.25355366
2019,"TEX",1579,6204,5540,1374,831,296,24,223,810,765,534,18,1578,67,44,17,98,131,38,0.24801444
2019,"TOR",1585,6090,5493,1299,761,270,21,247,726,697,509,10,1514,45,28,14,107,51,20,0.236482796
2019,"ARI",1848,6315,5633,1419,871,288,40,220,813,778,540,36,1360,70,40,31,120,88,14,0.251908396
2019,"ATL",1811,6301,5560,1432,877,277,29,249,855,824,619,39,1467,60,35,25,104,89,28,0.257553956
2019,"CHC",1825,6195,5461,1378,826,270,26,256,814,783,581,33,1460,83,39,30,127,45,24,0.252334737
2019,"CIN",1898,6100,5450,1328,839,235,27,227,701,679,492,25,1436,89,33,30,112,80,38,0.243669724
2019,"COL",1847,6288,5660,1502,914,323,41,224,835,803,489,25,1503,43,43,51,111,71,31,0.265371024
2019,"MIA",1835,6045,5512,1326,897,265,18,146,615,593,395,16,1469,73,33,31,139,55,30,0.240566037
2019,"HOU",1632,6394,5613,1538,899,323,28,288,920,891,645,17,1166,66,57,10,146,67,27,0.274006769
2019,"LAD",1871,6282,5494,1414,813,302,20,279,886,861,607,47,1356,81,45,55,100,57,10,0.257371678
2019,"MIL",1891,6309,5542,1366,820,279,17,250,769,744,629,42,1563,72,38,20,120,101,25,0.246481414
2019,"WSN",1792,6267,5512,1460,904,298,27,231,873,826,584,33,1308,81,42,48,117,116,29,0.264876632
2019,"NYM",1851,6290,5624,1445,906,280,17,242,791,767,516,34,1384,95,27,28,129,56,27,0.256934566
2019,"PHI",1853,6261,5571,1369,817,311,26,215,774,742,562,47,1453,57,34,34,97,78,18,0.245736851
2019,"PIT",1878,6228,5657,1497,981,315,38,163,758,722,425,41,1213,63,34,47,119,64,29,0.264627894
2019,"STL",1839,6167,5449,1337,857,246,24,210,764,714,561,15,1420,76,38,41,110,116,29,0.245366122
2019,"SDP",1856,6019,5391,1281,814,224,24,219,682,652,504,19,1581,55,31,37,120,70,37,0.237618252
2019,"SFG",1885,6169,5579,1332,839,300,26,167,678,655,475,26,1435,50,42,24,111,47,28,0.238752464
